Class Name;Current Object Name;Current Description;New Object Name;New Description
Sessão Leg. da Apresentação;Data Início Sessão Legislativa;Mostra a data completa de início das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (sessão preparatória e de eleição) 2/2/2011 (primeiro dia da 1ª sessão legislativa);Data Início Sessão Legislativa;Mostra a data completa de início das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (sessão preparatória e de eleição) 2/2/2011 (primeiro dia da 1ª sessão legislativa)
Sessão Leg. da Apresentação;Data Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   ";Data Inicial Recesso;"Apresenta a data completa do início da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 30/6/2003; 13/7/2004                                   "
Sessão Leg. da Apresentação;Data Fim Sessão Legislativa;Mostra a data completa de fim das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (fim da sessão preparatória e de eleição) 22/12/2011 (último dia dia da 1ª sessão legislativa);Data Fim Sessão Legislativa;Mostra a data completa de fim das seções legislativas em cada legislatura. Por exemplo: 54ª legislatura: 1/2/2011 (fim da sessão preparatória e de eleição) 22/12/2011 (último dia dia da 1ª sessão legislativa)
Sessão Leg. da Apresentação;Data Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   ";Data Final Recesso;"Apresenta a data completa do fim da interrupção temporária das atividades legislativas, conhecida como recesso parlamentar. Por exemplo: 52ª Legislatura: 1/8/2003; 1/8/2004                                   "
Sessão Leg. da Apresentação;Ide Sessao Legislativa;;Ide Sessao Legislativa;
Sessão Leg. da Transf. em Lei;Num Legislatura Transf em Lei;Apresenta o número da legislatura em que a proposição foi transformada em lei;Num Legislatura Transf em Lei;Apresenta o número da legislatura em que a proposição foi transformada em lei
Sessão Leg. da Transf. em Lei;Num Sessão Legislativa Transf em Lei;Classifica as proposições na sessão legislativa corresponde à data de sua transformalção em norma jurídica;Num Sessão Legislativa Transf em Lei;Classifica as proposições na sessão legislativa corresponde à data de sua transformalção em norma jurídica
Sessão Leg. da Transf. em Lei;Tipo Sessão Legislativa Trans em Lei;Apresenta o tipo de sessão legislativa (ordinária ou extraordinária) em que a proposição foi transformada em lei. ;Tipo Sessão Legislativa Trans em Lei;Apresenta o tipo de sessão legislativa (ordinária ou extraordinária) em que a proposição foi transformada em lei. 
Sessão Leg. da Transf. em Lei;Cod Tipo Sessao Legislativa;;Cod Tipo Sessao Legislativa;
Sessão Leg. da Transf. em Lei;Ide Sessao Legislativa;;Ide Sessao Legislativa;
Sessão Leg. da Transf. em Lei;Data Início Legislatura;Apresenta a data completa de início de cada legislatura:                                                            51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011;Data Início Legislatura;Apresenta a data completa de início de cada legislatura:                                                            51ª Legislatura: 1/2/1999                                            52ª Legislatura: 1/2/2003                                        53ª Legislatura: 1/2/2007                                        54ª Legislatura: 1/2/2011
Sessão Leg. da Transf. em Lei;Data Fim Legislatura;Apresenta a data completa de fim de cada legislatura:                                                            51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015;Data Fim Legislatura;Apresenta a data completa de fim de cada legislatura:                                                            51ª Legislatura: 31/1/2003                                           52ª Legislatura: 31/1/2007                                        53ª Legislatura: 31/1/2011                                        54ª Legislatura: 31/1/2015
